ID,BattingTeam,total_runs,balls_faced,boundaries,dot_balls,wickets_lost,strike_rate,run_rate,WinningTeam,Venue,TossWinner,TossDecision,won_match,Toss_Win_Match_Win
335982,Kolkata Knight Riders,222,124,29,36,3,179.0322581,10.74193548,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,1,0
335982,Royal Challengers Bangalore,82,101,6,50,10,81.18811881,4.871287129,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,0,0
335983,Chennai Super Kings,240,124,36,34,5,193.5483871,11.61290323,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,1,1
335983,Kings XI Punjab,207,124,27,23,4,166.9354839,10.01612903,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,0,1
335984,Delhi Daredevils,132,97,19,31,1,136.0824742,8.164948454,Delhi Daredevils,Feroz Shah Kotla,Rajasthan Royals,bat,1,0
335984,Rajasthan Royals,129,122,17,54,8,105.7377049,6.344262295,Delhi Daredevils,Feroz Shah Kotla,Rajasthan Royals,bat,0,0
335985,Mumbai Indians,165,123,23,45,7,134.1463415,8.048780488,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,bat,0,0
335985,Royal Challengers Bangalore,166,123,21,36,5,134.9593496,8.097560976,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,bat,1,0
335986,Deccan Chargers,110,118,12,62,10,93.22033898,5.593220339,Kolkata Knight Riders,Eden Gardens,Deccan Chargers,bat,0,0
335986,Kolkata Knight Riders,112,122,9,61,5,91.80327869,5.508196721,Kolkata Knight Riders,Eden Gardens,Deccan Chargers,bat,1,0
335987,Kings XI Punjab,166,122,25,54,8,136.0655738,8.163934426,Rajasthan Royals,Sawai Mansingh Stadium,Kings XI Punjab,bat,0,0
335987,Rajasthan Royals,168,119,24,47,4,141.1764706,8.470588235,Rajasthan Royals,Sawai Mansingh Stadium,Kings XI Punjab,bat,1,0
335988,Deccan Chargers,142,122,18,56,8,116.3934426,6.983606557,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,0,0
335988,Delhi Daredevils,143,83,21,26,1,172.2891566,10.3373494,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,1,0
335989,Chennai Super Kings,208,127,30,37,5,163.7795276,9.826771654,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,1,0
335989,Mumbai Indians,202,128,27,38,7,157.8125,9.46875,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,0,0
335990,Deccan Chargers,214,126,33,37,5,169.8412698,10.19047619,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,0,1
335990,Rajasthan Royals,217,122,32,34,7,177.8688525,10.67213115,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,1,1
335991,Kings XI Punjab,182,124,23,40,10,146.7741935,8.806451613,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,1,0
335991,Mumbai Indians,116,126,16,69,9,92.06349206,5.523809524,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,0,0
335992,Rajasthan Royals,138,105,24,44,3,131.4285714,7.885714286,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,field,1,1
335992,Royal Challengers Bangalore,135,124,19,64,8,108.8709677,6.532258065,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,field,0,1
335993,Chennai Super Kings,152,107,17,34,1,142.0560748,8.523364486,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,bat,1,0
335993,Kolkata Knight Riders,147,126,18,49,9,116.6666667,7,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,bat,0,0
335994,Deccan Chargers,155,77,24,21,0,201.2987013,12.07792208,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,field,1,1
335994,Mumbai Indians,154,125,19,49,7,123.2,7.392,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,field,0,1
335995,Delhi Daredevils,158,125,20,39,8,126.4,7.584,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,bat,0,0
335995,Kings XI Punjab,162,123,22,46,6,131.7073171,7.902439024,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,bat,1,0
335996,Chennai Super Kings,178,123,25,43,5,144.7154472,8.682926829,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,bat,1,1
335996,Royal Challengers Bangalore,165,124,19,35,10,133.0645161,7.983870968,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,bat,0,1
335997,Kolkata Knight Riders,137,125,18,53,8,109.6,6.576,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,bat,0,0
335997,Mumbai Indians,138,118,19,52,3,116.9491525,7.016949153,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,bat,1,0
335998,Delhi Daredevils,191,122,26,31,5,156.557377,9.393442623,Delhi Daredevils,Feroz Shah Kotla,Royal Challengers Bangalore,field,1,0
335998,Royal Challengers Bangalore,181,121,23,32,5,149.5867769,8.975206612,Delhi Daredevils,Feroz Shah Kotla,Royal Challengers Bangalore,field,0,0
335999,Deccan Chargers,164,122,22,40,8,134.4262295,8.06557377,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,field,0,1
335999,Kings XI Punjab,167,117,23,32,3,142.7350427,8.564102564,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,field,1,1
336000,Kolkata Knight Riders,151,122,14,36,10,123.7704918,7.426229508,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,bat,0,1
336000,Rajasthan Royals,196,127,27,37,7,154.3307087,9.25984252,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,bat,1,1
336001,Chennai Super Kings,169,126,22,44,6,134.1269841,8.047619048,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,0,0
336001,Delhi Daredevils,172,118,21,36,2,145.7627119,8.745762712,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,1,0
336002,Deccan Chargers,165,126,22,51,10,130.952381,7.857142857,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,0,0
336002,Royal Challengers Bangalore,171,114,26,38,5,150,9,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,1,0
336003,Kings XI Punjab,178,125,26,42,6,142.4,8.544,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,1,1
336003,Kolkata Knight Riders,169,122,18,46,6,138.5245902,8.31147541,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,0,1
336004,Delhi Daredevils,133,114,14,43,10,116.6666667,7,Mumbai Indians,Dr DY Patil Sports Academy,Delhi Daredevils,field,0,0
336004,Mumbai Indians,162,124,22,50,8,130.6451613,7.838709677,Mumbai Indians,Dr DY Patil Sports Academy,Delhi Daredevils,field,1,0
336005,Chennai Super Kings,109,116,13,61,10,93.96551724,5.637931034,Rajasthan Royals,Sawai Mansingh Stadium,Chennai Super Kings,bat,0,0
336005,Rajasthan Royals,110,93,12,39,2,118.2795699,7.096774194,Rajasthan Royals,Sawai Mansingh Stadium,Chennai Super Kings,bat,1,0
336006,Kings XI Punjab,127,117,15,51,4,108.5470085,6.512820513,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,field,1,1
336006,Royal Challengers Bangalore,126,121,17,58,10,104.1322314,6.247933884,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,field,0,1
336007,Chennai Super Kings,144,124,17,53,7,116.1290323,6.967741935,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,field,0,1
336007,Deccan Chargers,148,112,22,50,3,132.1428571,7.928571429,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,field,1,1
336008,Mumbai Indians,104,99,10,44,3,105.0505051,6.303030303,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai Indians,field,1,1
336008,Rajasthan Royals,103,103,11,43,10,100,6,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai Indians,field,0,1
336009,Chennai Super Kings,188,125,25,33,6,150.4,9.024,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,field,1,1
336009,Delhi Daredevils,187,126,25,26,5,148.4126984,8.904761905,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,field,0,1
336010,Kolkata Knight Riders,129,98,17,40,7,131.6326531,7.897959184,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,bat,1,1
336010,Royal Challengers Bangalore,124,99,17,36,4,125.2525253,7.515151515,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,bat,0,1
336011,Deccan Chargers,140,122,18,47,8,114.7540984,6.885245902,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,0,1
336011,Rajasthan Royals,141,101,18,33,2,139.6039604,8.376237624,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,1,1
336012,Mumbai Indians,126,102,16,43,1,123.5294118,7.411764706,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,field,1,1
336012,Royal Challengers Bangalore,122,115,13,49,9,106.0869565,6.365217391,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,field,0,1
336013,Chennai Super Kings,181,131,21,40,4,138.1679389,8.290076336,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,field,1,0
336013,Kings XI Punjab,163,122,18,46,9,133.6065574,8.016393443,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,field,0,0
336014,Deccan Chargers,181,128,24,48,7,141.40625,8.484375,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,bat,0,1
336014,Kolkata Knight Riders,204,124,31,42,4,164.516129,9.870967742,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,bat,1,1
336015,Delhi Daredevils,156,123,15,41,7,126.8292683,7.609756098,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,0,1
336015,Rajasthan Royals,159,122,19,47,7,130.3278689,7.819672131,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,1,1
336016,Kings XI Punjab,144,97,19,32,1,148.4536082,8.907216495,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,bat,1,0
336016,Royal Challengers Bangalore,143,124,15,42,8,115.3225806,6.919354839,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,bat,0,0
336017,Delhi Daredevils,110,110,13,46,10,100,6,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,bat,0,1
336017,Kolkata Knight Riders,133,128,13,43,6,103.90625,6.234375,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,bat,1,1
336018,Chennai Super Kings,156,127,24,56,6,122.8346457,7.37007874,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,0,1
336018,Mumbai Indians,158,94,24,37,1,168.0851064,10.08510638,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,1,1
336019,Kings XI Punjab,221,124,34,41,3,178.2258065,10.69354839,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,field,1,0
336019,Rajasthan Royals,180,121,26,43,7,148.7603306,8.925619835,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,field,0,0
336020,Deccan Chargers,182,122,24,39,9,149.1803279,8.950819672,Delhi Daredevils,Feroz Shah Kotla,Deccan Chargers,field,0,0
336020,Delhi Daredevils,194,125,24,31,4,155.2,9.312,Delhi Daredevils,Feroz Shah Kotla,Deccan Chargers,field,1,0
336021,Kolkata Knight Riders,67,98,8,59,10,68.36734694,4.102040816,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,0,1
336021,Mumbai Indians,68,38,11,14,2,178.9473684,10.73684211,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,1,1
336022,Delhi Daredevils,118,73,16,24,4,161.6438356,9.698630137,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,bat,0,0
